ICD_Code;KNr
A000;1
A001;1
A009;1
A020;1
A030;1
A031;1
A032;1
A033;1
A038;1
A039;1
A040;1
A041;1
A042;1
A043;1
A044;1
A045;1
A046;1
A047;1
A048;1
A049;1
A050;1
A051;1
A052;1
A053;1
A054;1
A058;1
A059;1
A060;1
A061;1
A062;1
A063;1
A070;1
A071;1
A072;1
A073;1
A078;1
A079;1
A080;1
A081;1
A082;1
A083;1
A084;1
A085;1
A090;1
A010;2
A011;2
A012;2
A013;2
A014;2
A022;2
A028;2
A029;2
A200;2
A208;2
A209;2
A210;2
A211;2
A213;2
A217;2
A218;2
A219;2
A222;2
A228;2
A229;2
A230;2
A231;2
A232;2
A233;2
A238;2
A239;2
A240;2
A241;2
A242;2
A243;2
A244;2
A250;2
A251;2
A259;2
A268;2
A269;2
A280;2
A281;2
A282;2
A288;2
A289;2
A300;2
A301;2
A302;2
A303;2
A304;2
A305;2
A308;2
A309;2
A318;2
A3180;2
A3188;2
A319;2
A328;2
A329;2
A360;2
A361;2
A362;2
A368;2
A369;2
A370;2
A371;2
A378;2
A379;2
A398;2
A399;2
A421;2
A422;2
A428;2
A429;2
A438;2
A439;2
A440;2
A448;2
A449;2
A480;2
A482;2
A484;2
A488;2
A490;2
A491;2
A492;2
A493;2
A498;2
A499;2
K678;2
M463;2
M4630;2
M4631;2
M4632;2
M4633;2
M4634;2
M4635;2
M4636;2
M4637;2
M4638;2
M4639;2
M491;2
M4910;2
M4911;2
M4912;2
M4913;2
M4914;2
M4915;2
M4916;2
M4917;2
M4918;2
M4919;2
M492;2
M4920;2
M4921;2
M4922;2
M4923;2
M4924;2
M4925;2
M4926;2
M4927;2
M4928;2
M4929;2
U800;2
U8000;2
U8001;2
U801;2
U8010;2
U8011;2
U802;2
U8020;2
U8021;2
U803;2
U8030;2
U8031;2
U804;2
U805;2
U806;2
U807;2
U81;2
U822;2
A35;2
A150;3
A151;3
A152;3
A153;3
A154;3
A155;3
A156;3
A157;3
A158;3
A159;3
A160;3
A161;3
A162;3
A163;3
A164;3
A165;3
A167;3
A168;3
A169;3
A180;3
A181;3
A182;3
A183;3
